name,category,date,link
Bongo Cat,Music,2020,https://bongo.cat/
Sonant Generative Music,Music,2020,https://sonant.generated.space/
Blob Opera,Music,2020,https://artsandculture.google.com/experiment/blob-opera/AAHWrq360NcGbw
Chrome Music Lab,Music,2018,https://musiclab.chromeexperiments.com/
Magic Sketchpad,Art,2020,https://magic-sketchpad.glitch.me/
Face Generator,Art,2019,http://å.cc/jack-of-diamonds/#Faces
Fluid Paint,Art,2019,http://david.li/paint/
Draw Nebulas,Art,2019,https://29a.ch/sandbox/2011/neonflames/
Animal Hybridizer,Art,2018,http://digitalcultures.pl/hybridizer/
Chaos Ink,Art,2020,https://dev.scottdarby.com/chaos-ink/
Fluid Simulation,Art,2020,https://paveldogreat.github.io/WebGL-Fluid-Simulation/
Time Bandits,Games,1988,https://archive.org/details/msdos_Time_Bandit_1988
AI Dungeon,Games,2020,https://play.aidungeon.io 
Line Rider,Games,2018,https://www.linerider.com/
Jelly Mario,Games,2018,http://jellymar.io/
Internet Arcade,Games,2018,https://archive.org/details/internetarcade&tab=about
Creative Beats,Music,2018,https://creative-beats.glitch.me/
Color Piano,Music,2019,https://galactic.ink/piano/
Beast Box,Music,2019,https://academy.allaboutbirds.org/features/beastbox
AI Experiments,Music,2019,https://aiexperiments.withgoogle.com/
Gregorian Chants Gen,Music,2019,https://mynoise.net/NoiseMachines/gregorianChoirGenerator.php
Bosca Ceoil,Music,2019,https://boscaceoil.net/ 
Turtle Audio,Music,2019,http://turtle.audio/
Cucumber Quest,Comics,2019,http://cucumber.gigidigi.com/
Girl Genius,Comics,2018,https://www.girlgeniusonline.com/
Hobotopia,Comics,2018,https://hobotopia.com/archive
Pink Trombone,Music,2019,https://dood.al/pinktrombone/
Pixel Play (fractals sort of thing),Art,2019,https://anvaka.github.io/pplay/?tx=0&ty=0&scale=1
Deep Sea,Fun,2019,https://neal.fun/deep-sea/
Ancient Globe,Fun,2019,http://dinosaurpictures.org/ancient-earth 
Fantasy City Generator,Fun,2019,https://watabou.itch.io/medieval-fantasy-city-generator
