brand,string,material,diameter_mm
Uke Logic Baritone Hard,E,Pink Fluorocarbon,0.584
Uke Logic Baritone Hard,B,Pink Fluorocarbon,0.711
Uke Logic Baritone Hard,G,Pink Fluorocarbon,0.914
Uke Logic Baritone Hard,D,Gold smooth wound,0.762
Uke Logic Baritone Soft,E,Pink Fluorocarbon,0.508
Uke Logic Baritone Soft,B,Pink Fluorocarbon,0.635
Uke Logic Baritone Soft,G,Pink Fluorocarbon,0.813
Uke Logic Baritone Soft,D,Pink Fluorocarbon,0.914
PhD Strings,*,PVDF fluorocarbon,none given 
Worth Brown,E,Brown Fluorocarbon,0.620
Worth Brown,B,Brown Fluorocarbon,0.739
Worth Brown,G,Brown Fluorocarbon,0.810
Worth Brown,D,Brown Fluorocarbon,0.909
Aquila Nylgut,E,nylgut,0.67
Aquila Nylgut,B,nylgut,0.84
Aquila Nylgut,G,wound,0.60
Aquila Nylgut,D,wound,0.70
Oasis Fluorocarbon UKE-8200B,E,Fluorocarbon,0.620
Oasis Fluorocarbon UKE-8200B,B,Fluorocarbon,0.739
Oasis Fluorocarbon UKE-8200B,G,Fluorocarbon,0.800
Oasis Fluorocarbon UKE-8200B,D,Fluorocarbon,0.909
